entrez-gene-symbol	disease_name
TSC2	Primary lymphoedema
VEGFC	Primary lymphoedema
ABCA4	Retinal disorders
ABHD12	Retinal disorders
ACO2	Retinal disorders
ADAM9	Retinal disorders
ADAMTS18	Retinal disorders
ADGRV1	Retinal disorders
AGBL5	Retinal disorders
AHI1	Retinal disorders
AIPL1	Retinal disorders
AIRE	Retinal disorders
ALMS1	Retinal disorders
ARHGEF18	Retinal disorders
ARL2BP	Retinal disorders
ARL6	Retinal disorders
ATF6	Retinal disorders
ATOH7	Retinal disorders
BBS1	Retinal disorders
BBS10	Retinal disorders
BBS12	Retinal disorders
BBS2	Retinal disorders
BBS4	Retinal disorders
BBS5	Retinal disorders
BBS7	Retinal disorders
BBS9	Retinal disorders
BEST1	Retinal disorders
C1QTNF5	Retinal disorders
C21orf2	Retinal disorders
C2orf71	Retinal disorders
C8orf37	Retinal disorders
CABP4	Retinal disorders
CACNA1F	Retinal disorders
CACNA2D4	Retinal disorders
CAPN5	Retinal disorders
CC2D2A	Retinal disorders
CDH23	Retinal disorders
CDH3	Retinal disorders
CDHR1	Retinal disorders
CEP164	Retinal disorders
CEP290	Retinal disorders
CEP78	Retinal disorders
CERKL	Retinal disorders
CFH	Retinal disorders
CHM	Retinal disorders
CIB2	Retinal disorders
CLN3	Retinal disorders
CLN5	Retinal disorders
CLN6	Retinal disorders
CLN8	Retinal disorders
CLRN1	Retinal disorders
CNGA1	Retinal disorders
CNGA3	Retinal disorders
CNGB1	Retinal disorders
CNGB3	Retinal disorders
CNNM4	Retinal disorders
COL18A1	Retinal disorders
COL4A1	Retinal disorders
CRB1	Retinal disorders
CRX	Retinal disorders
CSPP1	Retinal disorders
CTNNB1	Retinal disorders
CTSD	Retinal disorders
CWC27	Retinal disorders
CYP4V2	Retinal disorders
DHDDS	Retinal disorders
DRAM2	Retinal disorders
EFEMP1	Retinal disorders
ELOVL4	Retinal disorders
ERCC6	Retinal disorders
ERCC8	Retinal disorders
EYS	Retinal disorders
FAM161A	Retinal disorders
FLVCR1	Retinal disorders
FZD4	Retinal disorders
GNAT1	Retinal disorders
GNAT2	Retinal disorders
GNPTG	Retinal disorders
GPR143	Retinal disorders
GPR179	Retinal disorders
GRK1	Retinal disorders
GRM6	Retinal disorders
GUCA1A	Retinal disorders
GUCA1B	Retinal disorders
GUCY2D	Retinal disorders
HARS	Retinal disorders
HCCS	Retinal disorders
HGSNAT	Retinal disorders
HMX1	Retinal disorders
IDH3A	Retinal disorders
IDH3B	Retinal disorders
IFT140	Retinal disorders
IKBKG	Retinal disorders
IMPDH1	Retinal disorders
IMPG1	Retinal disorders
IMPG2	Retinal disorders
INPP5E	Retinal disorders
IQCB1	Retinal disorders
KCNJ13	Retinal disorders
KCNV2	Retinal disorders
KIAA1549	Retinal disorders
KIF11	Retinal disorders
KIZ	Retinal disorders
KLHL7	Retinal disorders
LCA5	Retinal disorders
LRAT	Retinal disorders
LRIT3	Retinal disorders
LRP2	Retinal disorders
LRP5	Retinal disorders
LZTFL1	Retinal disorders
MAK	Retinal disorders
MERTK	Retinal disorders
MFRP	Retinal disorders
MFSD8	Retinal disorders
MKKS	Retinal disorders
MKS1	Retinal disorders
MYO7A	Retinal disorders
NDP	Retinal disorders
NMNAT1	Retinal disorders
NPHP1	Retinal disorders
NPHP3	Retinal disorders
NPHP4	Retinal disorders
NR2E3	Retinal disorders
NRL	Retinal disorders
NYX	Retinal disorders
OAT	Retinal disorders
OFD1	Retinal disorders
OPN1LW	Retinal disorders
OPN1MW	Retinal disorders
OTX2	Retinal disorders
PANK2	Retinal disorders
PCDH15	Retinal disorders
PCYT1A	Retinal disorders
PDE6A	Retinal disorders
PDE6B	Retinal disorders
PDE6C	Retinal disorders
PDE6G	Retinal disorders
PEX1	Retinal disorders
PEX2	Retinal disorders
PEX7	Retinal disorders
PHYH	Retinal disorders
PLA2G5	Retinal disorders
POC1B	Retinal disorders
PPT1	Retinal disorders
PRCD	Retinal disorders
PROM1	Retinal disorders
PRPF3	Retinal disorders
PRPF31	Retinal disorders
PRPF4	Retinal disorders
PRPF6	Retinal disorders
PRPF8	Retinal disorders
PRPH2	Retinal disorders
PRPS1	Retinal disorders
RAB28	Retinal disorders
RAX2	Retinal disorders
RBP3	Retinal disorders
RBP4	Retinal disorders
RCBTB1	Retinal disorders
RD3	Retinal disorders
RDH12	Retinal disorders
RDH5	Retinal disorders
REEP6	Retinal disorders
RGS9	Retinal disorders
RHO	Retinal disorders
RLBP1	Retinal disorders
RP1	Retinal disorders
RP1L1	Retinal disorders
RP2	Retinal disorders
RP9	Retinal disorders
RPE65	Retinal disorders
RPGR	Retinal disorders
RPGRIP1	Retinal disorders
RPGRIP1L	Retinal disorders
RS1	Retinal disorders
SAG	Retinal disorders
SCAPER	Retinal disorders
SDCCAG8	Retinal disorders
SLC24A1	Retinal disorders
SLC38A8	Retinal disorders
SNRNP200	Retinal disorders
SPATA7	Retinal disorders
SRD5A3	Retinal disorders
TIMM8A	Retinal disorders
TIMP3	Retinal disorders
TMEM237	Retinal disorders
TOPORS	Retinal disorders
TPP1	Retinal disorders
TRIM32	Retinal disorders
TRPM1	Retinal disorders
TSPAN12	Retinal disorders
TTC8	Retinal disorders
TTLL5	Retinal disorders
TUB	Retinal disorders
TULP1	Retinal disorders
USH1C	Retinal disorders
USH1G	Retinal disorders
USH2A	Retinal disorders
VCAN	Retinal disorders
VPS13B	Retinal disorders
WDPCP	Retinal disorders
WDR19	Retinal disorders
WHRN	Retinal disorders
ZNF408	Retinal disorders
ZNF423	Retinal disorders
ARMC4	Primary ciliary disorders
C21orf59	Primary ciliary disorders
CCDC103	Primary ciliary disorders
CCDC114	Primary ciliary disorders
CCDC151	Primary ciliary disorders
CCDC39	Primary ciliary disorders
CCDC40	Primary ciliary disorders
CCDC65	Primary ciliary disorders
CCNO	Primary ciliary disorders
DNAAF1	Primary ciliary disorders
DNAAF2	Primary ciliary disorders
DNAAF3	Primary ciliary disorders
DNAAF4	Primary ciliary disorders
DNAAF5	Primary ciliary disorders
DNAH11	Primary ciliary disorders
DNAH5	Primary ciliary disorders
DNAI1	Primary ciliary disorders
DNAI2	Primary ciliary disorders
DNAL1	Primary ciliary disorders
DRC1	Primary ciliary disorders
GAS2L2	Primary ciliary disorders
GAS8	Primary ciliary disorders
HYDIN	Primary ciliary disorders
LRRC6	Primary ciliary disorders
MCIDAS	Primary ciliary disorders
PIH1D3	Primary ciliary disorders
RPGR	Primary ciliary disorders
RSPH1	Primary ciliary disorders
RSPH3	Primary ciliary disorders
RSPH4A	Primary ciliary disorders
RSPH9	Primary ciliary disorders
SPAG1	Primary ciliary disorders
ZMYND10	Primary ciliary disorders
ABCB11	Neonatal cholestasis
ABCB4	Neonatal cholestasis
ABCC2	Neonatal cholestasis
ADK	Neonatal cholestasis
AKR1D1	Neonatal cholestasis
ALDOB	Neonatal cholestasis
ATP7B	Neonatal cholestasis
ATP8B1	Neonatal cholestasis
BAAT	Neonatal cholestasis
CC2D2A	Neonatal cholestasis
CFTR	Neonatal cholestasis
CLDN1	Neonatal cholestasis
COG7	Neonatal cholestasis
CYP27A1	Neonatal cholestasis
DCDC2	Neonatal cholestasis
DGUOK	Neonatal cholestasis
FAH	Neonatal cholestasis
GALT	Neonatal cholestasis
GBA	Neonatal cholestasis
GBE1	Neonatal cholestasis
HADHA	Neonatal cholestasis
HNF1B	Neonatal cholestasis
HSD3B7	Neonatal cholestasis
INVS	Neonatal cholestasis
JAG1	Neonatal cholestasis
LIPA	Neonatal cholestasis
MPI	Neonatal cholestasis
MPV17	Neonatal cholestasis
MVK	Neonatal cholestasis
NOTCH2	Neonatal cholestasis
NPC1	Neonatal cholestasis
NPC2	Neonatal cholestasis
NR1H4	Neonatal cholestasis
PEX1	Neonatal cholestasis
PEX10	Neonatal cholestasis
PEX12	Neonatal cholestasis
PEX13	Neonatal cholestasis
PEX14	Neonatal cholestasis
PEX16	Neonatal cholestasis
PEX19	Neonatal cholestasis
PEX2	Neonatal cholestasis
PEX26	Neonatal cholestasis
PEX3	Neonatal cholestasis
PEX6	Neonatal cholestasis
